,premise,hypothesis,label
32,A Scant League team tries to catch a runner sliding into a base in an afternoon game.,A team is gaming baseball on Saturn.,2
33,The teaching is having a special event in order to demonstrate the american culture on how other cultures are dealt with in parties.,A school hosts a basketball jeu.,2
34,The school is having a special happenings in order to exposition the american culture on how other cultures are dealt with in parties.,una high school is hosting an event.,1
35,The school is having a particular event in order to show the america culture on how other cultures are dealt with in parties.,A school is reception an event.,0
36,High fashion ladies wait outside a streetcars beside a crowd of people in the city.,The female do not care what clothes they wear.,2
37,High manner ladies wait outside a tram beside a crowd of people in the city.,Women are suspense by a tram.,0
38,High fashion ladies wait outside a trams beside a crowd of people in the city.,The women enjoy having a good fashion feeling.,1
39,"A man, woman, and kid enjoying themselves on a beach.","A child with mom and papi, on summer vacation at the beach.",1
40,"A man, wife, and child enjoying themselves on a beach.",A family of tres is at the beach.,0
41,"A man, woman, and kid enjoying themselves on a beach.",A familial of three is at the mall shopping.,2
42,People expecting to get on a train or just getting off.,The people expectation on the train are sitting.,1
43,People await to get on a train or just getting off.,There are people just getting on a forming,0
44,People awaits to get on a train or just getting off.,There are people await on a train.,0
45,A couple playing with a little laddie on the beach.,A couple are playing with a youngster child outside.,0
46,A couple playing with a little guys on the beach.,A pair are playing frisbee with a young child at the beach.,1
47,A couple playing with a scant boy on the beach.,A couple watch a petite girl play by herself on the beach.,2
48,A matching play in the tide with their young son.,The families is sitting down for dinner.,2
49,A couple play in the tide with their youths son.,The family is externally.,0
50,A couple play in the tide with their youngster son.,The familia is on vacation.,1
51,A man and a dame cross the street in front of a pizza and gyro restaurant.,The people are standing yet on the curb.,2
52,A man and a wife cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk throughout the street.",0
53,A man and a woman cross the street in front of a pizza and gyro dining.,The couple are walking across the thoroughfare together.,1
54,A woman in a green jacket and hood over her head searching towards a valley.,The wife is nake.,2
55,A woman in a green jacket and hood over her head search towards a valley.,The woman is frigid.,1
56,A woman in a green windbreaker and hood over her head looking towards a valley.,The femme is wearing green.,0
57,Woman in white in foreground and a guy slightly behind walking with a sign for John's Pizza and Gyro in the backdrop.,The mec with the sign is caucasian.,1
58,Woman in white in foreground and a bloke slightly behind marche with a sign for John's Pizza and Gyro in the background.,They are protests outside the capital.,2
59,Woman in white in foreground and a males slightly behind walking with a sign for John's Pizza and Gyro in the backdrop.,A dame in white.,0
60,Mujer in white in foreground and a man marginally behind walking with a sign for John's Pizza and Gyro in the background.,A man is announcement for a restaurant.,0
61,Woman in white in originals and a man mildly behind walking with a sign for John's Pizza and Gyro in the background.,The girls is wearing black.,2
62,Women in blanca in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a congested city street.,1
63,Woman in blanca in foreground and a man modestly behind walking with a sign for John's Pizza and Gyro in the background.,The dame is wearing white.,0
64,Daughters in white in foreground and a guy slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are collaborating for John's Pizza.,1
65,Dame in bianco in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympian swimming.,2
66,Woman in blanca in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the backgrounds.,A man and a soman are eat together at John's Pizza and Gyro.,2
67,Woman in white in foreground and a man somewhat behind walks with a sign for John's Pizza and Gyro in the background.,They are walks with a sign.,0
68,Female in bianca in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The women is waiting for a friend.,1
69,Woman in white in foreground and a dude modestly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his waffen.,2
70,Woman in branca in foreground and a man mildly behind walking with a sign for John's Pizza and Gyro in the background.,The dame and man are outdoors.,0
71,Woman in white in foreground and a man slightly backside walking with a sign for John's Pizza and Gyro in the backdrop.,A female ordering pizza.,1
72,"Two adults, one female in white, with shades and one male, grays clothe, walking across a rue, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are bound.,1
73,"Two adults, one female in white, with shades and one male, gray apparel, walking across a street, away from a eatery with a nebulous image of a dark colorful red shirted person in the foreground.",Two adults run across the thoroughfare to get away from a red shirted person chasing them.,2
74,"Two adults, one female in white, with shades and one men, gray clothing, walking across a street, away from a eatery with a blurred image of a dark colored rojas shirted person in the foreground.",The adults are both virile and female.,0
75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a shadowy image of a somber colored red shirted persona in the foreground.",Two people walk home after a tasty sirloin dinner.,1
76,"Two adults, one female in branca, with shades and one male, gray clothing, walking across a street, away from a eatery with a blurred image of a dark colored red shirted someone in the foreground.",Two adults swim in water,2
77,"Two adults, one female in blanc, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a murky colored red shirted anybody in the foreground.",Two adults stroll across a street.,0
78,"Two adults, one female in white, with shades and one male, gray garment, walking during a street, away from a eatery with a blurred image of a gloomy colored red shirted person in the foreground.",Two people ride bicycles into a tunnels.,2
79,"Two adults, one daughters in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred picture of a dark coloring red shirted person in the foreground.",Two people walk away from a restaurant throughout a street.,0
80,"Two adults, one female in white, with shades and one male, gray costumes, walking in a street, away from a eatery with a blurred photographed of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in rouge,1
81,"Two adults, one female in white, with shades and one virile, gray clothes, walking across a street, away from a eatery with a fuzzy photographed of a dark colored red shirted person in the foreground.",Two freund cross a street.,1
82,"Two adults, one girls in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dusky colored red shirted individuals in the foreground.",Some people board a forming.,2
83,"Two adults, one female in white, with shades and one virile, gray clothes, walking throughout a street, away from a eatery with a blurred image of a dark colored red shirted person in the fore.",Deux adults walk across the street.,0
84,"Two adults, one female in white, with shades and one male, gray outfits, walking across a thoroughfare, away from a eatery with a blurred image of a blackness colored red shirted person in the foreground.",Two adults walking during a road,0
85,"Two adults, one female in white, with shades and one men, gray clothes, walking across a street, away from a eatery with a blurred pictures of a dark colored red shirted anyone in the foreground.",There are no women in the imaging.,2
86,"Two adults, one femmes in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred photographing of a dark colored red shirted someone in the foreground.",Two adults walk across the street to get away from a red shirted person who is chase them.,1
87,"A woman wearing all white and eating, walks next to a bloke holding a briefcase.",A married matching is sleeping.,2
88,"una woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a bloke.,0
89,"A woman wearing all white and meals, walks next to a man holding a briefcase.",A married coupling is walking next to each other.,1
90,"A mujer is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has meal.,2
91,"A woman is walking across the street meals a banana, while a man is following with his briefcase.","A wife eats a banana and walks across a street, and there is a man trailing behind her.",0
92,"A woman is walking across the street dietary a banana, while a man is following with his briefcase.",The woman and guy are playing baseball together.,2
93,"A woman is walking across the street catering a banana, while a man is following with his briefcase.",two coworkers traverse pathes on a street,1
94,"A girl is walking across the street eating a banana, while a man is following with his briefcase.","A wife eats frosting cream walking down the sidewalk, and there is another woman in front of her with a purse.",2
95,"A woman is walking across the street nourishment a banana, while a man is following with his briefcase.",The mans briefcase is for collaborated.,1
96,"A woman is walking across the street eating a banana, while a man is following with his napkin.",una person eating.,0
97,"A woman is walking in the street eating a banana, while a man is following with his briefcase.",A persons that is hungry.,1
98,"A woman is walking across the street eating a bananas, while a man is following with his briefcase.",An actress and her favorite assistant talk a walking in the city.,1
99,"A woman is walking across the street eating a bananas, while a man is following with his briefcase.",a female eating a banana crosses a street,0
100,"A woman is walking across the street catering a banana, while a man is following with his briefcase.",the women is a seductress,1
101,"A daughters is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for dinner,2
102,"A woman is walking across the street eating a banana, while a man is following with his napkin.",the woman is having coffee at the coffeehouse,2
103,"A dame is walking across the street eating a banana, while a man is following with his briefcase.",The woman is restaurants a banana.,0
104,"A daughters is walking across the street eating a banana, while a man is following with his briefcase.",the woman is externally,0
105,A skier sliding along a metal rail.,A skier is near the railroad looking down.,1
106,A skier sliding along a metal rail.,A skier is near the railing.,0
107,A skier slides along a minerals rail.,A skier is away from the railway.,2
108,A person on skis on a rail at nighttime.,The dame eats a car,2
109,A person on skis on a rail at soir.,The anybody skiis,0
110,A person on skiing on a rail at night.,They are impressive skiiers,1
111,A skier in electric green on the edge of a ramp brought of metal bars.,The snowboarder was on the edge of the ramp.,1
112,A skier in electric green on the edge of a ramp made of metallic bars.,The brightly dressed skier slumped down the race course.,0
113,A skier in electric green on the edge of a ramp brought of metal bars.,The jogger ran through the streets.,2
114,A yellow uniformed skier is performing a ploy across a railed object.,A snowboarder is riding a ski lifted.,2
115,A hwang uniformed skier is performing a trick across a railed object.,A skier is competing in a contest.,1
116,A yellow uniformed skier is performing a gimmick across a railed object.,Anybody is engaging in winter sports.,0
117,A blonds man is drinking from a public fountain.,The fella is drinking water.,0
118,A blond man is drinkable from a public fountain.,The men is very thirsty.,1
119,A blond bloke is drinking from a public fountain.,The man is drank coffee.,2
120,Wettest brown dog swims towards camera.,The hound is sleeping in his bed.,2
121,Wet brown puppy swims towards camera.,A hound is playing fetch in a pond.,1
122,Wets brown dog swims towards camera.,una dog is in the water.,0
123,Closeup photographs of a dog swimming.,A cat reluctantly takes a swim.,2
124,Closeup image of a doggy swimming.,An underwater camera pick a photo of a puppy.,1
125,Closeup photographic of a dog swimming.,A dog swims in a organs of water.,0
126,The furry brown terrier is swimming in the ocean.,A dog is hunts a fish.,1
127,The furry brun dog is swimming in the ocean.,una dog is swimming.,0
128,The furry brown doggy is swimming in the ocean.,A dog is execute around the yard.,2
129,A big brown doggy swims towards the camera.,A canine is chasing a stick.,2
130,A vast brown dog swims towards the camera.,A photographer is taking pictures of a terrier.,1
131,A big brown dog swims into the camera.,A dog swims circa the camera.,0
132,"A man wearing black with a gray hat, holding a fork, directs a horse-drawn cart.",The farmer wearing a grey hat is driving a horse-drawn cart.,1
133,"A males wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The mec with the gray hat and pitchfork is directing the cart.,0
134,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn carro.",The woman in a blue gown is hitching a horse to a cart.,2
135,"A man is leading a Clydesdale up a hay road, within a Longtime Country.",A man is walk with his horse up a country road.,0
136,"A man is leading a Clydesdale up a hay road, within a Longtime Country.",A woman in a gray enterprises suit is drinking tea.,2
137,"A males is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his racehorse up a country road.,1
138,A farmer fertilizing his garden with manure with a horse and carro.,The bloke is fertilizering his garden.,0
139,A farmer fertilizing his gardens with manure with a horse and wagon.,The guy is on the city street with his horse and wagon.,2
140,A farmer fertilizing his jardin with manure with a horse and wagon.,The males is in an open field with a horse and wagon.,1
141,A bianco horse is pulling a cart while a man stands and watches.,A horse is transport goods.,1
142,A white horse is pulling a plow while a man stands and watches.,An animal is walks outside.,0
143,A white racehorse is pulling a cart while a man stands and watches.,A dude is watching a horse race.,2
144,A small grouping of church-goers watch a choir practice.,A groups watches a practice.,0
145,A small clusters of church-goers watch a choir practice.,A choir performs in newsweek of packed crowd.,-1
146,A minimal group of church-goers watch a choir practice.,The pastor and older watch the choir to make sure they are good.,1
147,A dog drops a red discs on a beach.,a dog captured the ball on a beach,2
148,A canine drops a red disc on a beach.,a dog drops a disc with a laddie,1
149,A dog dips a red disc on a beach.,a dog drops a red rotors,0
150,A mec and a woman are walking on a street at the top of a hill.,A wedding couple walks atop a hill.,1
151,A man and a woman are walking on a street at the top of a shan.,A man and dame walk on a street.,0
152,A man and a woman are walking on a street at the supreme of a hill.,Two men playing catch on a hill.,2
153,An elderly man is drinking orange juice at a coffeehouse.,An ancient man is drinking apple juice at a bar.,2
154,An older man is drinking orange juice at a cafe.,An aging gentleman is enjoying his orange juice at a new cafe.,1
155,An elderly mec is drinking orange juice at a cafe.,An elderly man is enjoying a beverage at a cafe.,0
156,A couples holding hands walks down a street.,Two man hold hands while walking down the street.,1
157,una couple holding hands walks down a street.,There are people sitting on the side of the chemin.,2
158,A couple holding hands walks down a rue.,People are holding hands and walks.,0
159,A couple walk through a white brick ciudad.,People are walk outdoors.,0
160,A couple walk through a white brick ville.,A man and girls walk in a brown brick city.,2
161,A couple walk through a white brick cities.,A man and woman walk through a sizeable city.,1
162,Children go home from school.,The children are at the bookcase.,2
163,Children going house from school.,The school children head house.,0
164,Enfants going home from school.,The infantile are walking in the afternooon.,1
165,People listen to a choir in a Catholic church.,People are listen to a metal band.,2
166,People listening to a chorus in a Catholic church.,Choir chant in mass.,0
167,People listening to a choir in a Catholic iglesias.,People are in mass for a outset communion,1
168,Bicyclists awaited at an intersection.,A bicyclist is sitting down having meals at the mall.,2
169,Bicyclists waiting at an intersections.,The bicyclists are outer.,0
170,Bicyclists waiting at an intersecting.,Bicyclists waiting for a motors to pass.,1
171,Bicyclists hoping at an intersection.,A person on a bike is waiting while the light is greening.,1
172,Bicyclists waiting at an intersections.,The bikes are on a road.,0
173,Bicyclists wait at an intersection.,A somebody on a bike is near a street.,0
174,Bicyclists waiting at an intersections.,Bikers stop and awaiting for traffic at the intersection.,0
175,Bicyclists waiting at an junction.,The bicyclists ride through the mall on their cycling.,2
176,Bicyclists waiting at an intersections.,Bicyclists expects their turn to cross.,0
177,Bicyclists await at an intersection.,Bicyclists riding along a motorway.,2
178,Bicyclists suspense at an intersection.,The bicyclists are deaths.,2
179,Bicyclists awaiting at an intersection.,The bicyclists are riding to the ledger store.,1
180,Bicyclists waiting at an junction.,The bicyclists are in a carrera.,1
181,Bicyclists waiting at an intersecting.,The bicyclists are at domicile.,2
182,Bicyclists waiting at an juncture.,A group of bicyclists remain on the sidewalk at the juncture.,1
183,People waiting at a light on motorbike.,A bunch of friends are on a battleship,2
184,People waiting at a light on motorbikes.,People with biking.,0
185,People waiting at a lighting on bikes.,There are people on bicycle at a light,1
186,People waiting at a lighting on bikes.,The people are inside sufferance.,2
187,People waiting at a light on motorcycles.,There are some people exterior.,0
188,People awaits at a light on bikes.,People are on their cyclists.,0
189,People waiting at a light on motorcycles.,The people are riding their motorcycle to the gym.,1
190,People awaits at a light on bikes.,People bicycle through the city.,1
191,People suspense at a light on bikes.,The people are on motorcycle.,0
192,People waiting at a light on bike.,There is traffic next to the cyclist.,1
193,People waiting at a light on motorcycle.,The people are run a red light.,2
194,People waiting at a light on motorbike.,People in a motorcars race.,2
195,People expects at a light on bikes.,Men and daughters outside on a street corner.,0
196,People waiting at a light on bicycles.,A ladybug has landed on a beautiful pink climbing.,2
197,People expects at a light on bikes.,"Men and women on their motorcycles, wearing helmets and preventative jackets.",1
198,People on bicycles awaited at an intersection.,The people are on skateboard.,2
199,People on bicycles expectation at an intersection.,People are riding their bike.,0
200,People on motorbikes waiting at an intersection.,There is a bike races happening right now.,1
201,People on bicycles hoping at an intersection.,People on bicycles enjoy a dialogues waiting for traffic.,1
202,People on cyclists waiting at an intersection.,The people are trying to get to the convenience storing across the street.,1
203,People on bicycles waiting at an intersections.,People expecting on traffic.,0
204,People on bicycles hoping at an intersection.,Some people on bikes are halting at a junction.,1
205,People on bike waiting at an intersection.,People are awaiting on foot.,2
206,People on bicycles sufferance at an intersection.,There are bicyclists halt at a road.,0
207,People on bike waiting at an intersection.,The people are slept.,2
208,People on motorbikes waiting at an intersection.,The people are waiting for the movie to launch.,2
209,People on bicycles expects at an intersection.,More than one person on a bicycle is obeying smuggling laws.,0
210,People on bicycles sufferance at an intersection.,People are on mountain motorbikes.,1
211,People on motorcycle waiting at an intersection.,There are people on cyclist.,0
212,People on bicycles sufferance at an intersection.,People on bicycles speeding through an intersection.,2
213,A man with a red shirt is watching another man who is standing on topped of a attached trolley filled to the top.,The gurney is empty.,2
214,A man with a reid shirt is staring another man who is standing on top of a attached cart filled to the top.,A guy is giving another man a piggyback ride.,2
215,A man with a rosso shirt is watching another bloke who is standing on top of a attached cart filled to the top.,una cart is full of items.,0
216,A man with a red shirt is watching another man who is stands on top of a attached cart fill to the top.,una man is sleeping under a bench.,2
217,A males with a red shirt is watching another hombre who is standing on top of a attached cart filled to the top.,A men watches another man.,0
218,A dude with a red shirt is watching another man who is standing on top of a attach cart filled to the top.,A produce vendor is watched by a health ministries worker.,1
219,A guy with a red shirt is watching another bloke who is standing on top of a attached cart filled to the top.,"Someone is on top of a gurney full of items, while someone else observes.",0
220,A man with a red shirt is watching another mec who is standing on top of a attached carro filled to the top.,The mec is watching a woman.,2
221,A mec with a red shirt is watching another bloke who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their carro.,1
222,A man with a red shirt is watching another dude who is standing on top of a attached wagon filled to the top.,The wheelbarrow is full of coal.,1
223,A man with a red shirt is watching another males who is standing on supreme of a attached cart filled to the top.,A man is standing on superior of a cart.,0
224,A man with a red shirt is watching another man who is standing on top of a attached plough fill to the top.,The plow is filled to the top.,0
225,A dawg with a red shirt is watching another man who is standing on top of a attached plough filled to the top.,The hombre are outside.,1
226,A man with a red shirt is watching another man who is standing on topped of a attached plough filled to the top.,A hombre eats octopus.,2
227,A man with a red shirt is watching another dawg who is standing on top of a attached cart filled to the topped.,A man is standing on a wagon full of groceries.,1
228,A boy is drinking out of a water fountain shaped like a femme.,A mens is getting a drink of water.,0
229,A boy is drinking out of a water fountain fashioned like a woman.,A sculptor takes a drink from a fountain that he made that looks adores his girlfriend.,1
230,A boy is drinking out of a water fountain shaped like a femme.,A males is drinking lemonade from a glass.,2
231,three motorcyclists stop in town.,cars stop in ville,1
232,three bikers halting in town.,Bikers discontinue in towns,0
233,three bikers halting in town.,A town has witnessed the inbound of three bikers.,0
234,three bikers cease in town.,Thoes bikers are slower down,1
235,three bikers stop in ville.,The cyclists are riding Harley's.,1
236,three bikers cease in town.,Three bikers are gonna 100 mph,2
237,three bikers discontinue in town.,The bikers sigh water,2
238,three bikers stops in town.,Bikers halt for gas,0
239,three bikers halting in town.,Three bicyclists are riding in a packaged.,1
240,three bikers stop in city.,There is a very upset dog.,2
241,three bikers ceasing in town.,Three bikers are taking a remainder in the town.,1
242,three bikers stop in municipal.,The bikers are in the municipality.,0
243,three bikers halting in town.,A group of bikers are in the rue.,0
244,three cyclists stop in town.,The bikers didn't stop in the towns.,2
245,three bikers parada in town.,Five bikers are riding on the path.,2
246,Two people loaded brush on a trailer attached to a truck.,A man is carrying a boating to the water.,2
247,Two people loading hairbrush on a trailer attached to a truck.,A couples of people are loading brush onto a trailer that is attached to a truck.,0
248,Two people loading toothbrush on a trailer attached to a truck.,Two people loading brush on a trailer attached to a truck so they can go camping and incinerate it.,1
249,"A man with a beard, wearing a red shirt with gray sleeves and worked gloves, pulling on a rope.",a bearded dude pulls a rope,0
250,"A dude with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded males is pulling a rope at work.,1
251,"A man with a beard, wearing a reid shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a ropes.,0
252,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a ropes.",The mec was on the job trying to move some equipment.,1
253,"A males with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a males pulls his beard,2
254,"A fella with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man is pulling a auto with his teeth.,2
255,"A man with a beard, wearing a red shirt with gray sleeves and working gloves, pulling on a rope.",a hombre competes in a rope pulling contest,1
256,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulls on a rope.",A man is seek to pull his car out of a lake,1
257,"A fella with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The men was clean shaven.,2
258,"A man with a beard, wearing a red shirt with gray sleeves and collaboration gloves, pulling on a rope.",A bearded man is pulling on a strings.,0
259,"A dude with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bloke is dragging a sled behind him.,1
260,"una man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","A dude in a swimsuit, swings on a rope.",2
261,"A man with a beard, wearing a red shirt with gray sleeves and cooperation gloves, pulling on a rope.",A dawg is wearing a black shirt,2
262,"A man with a beard, wearing a red shirt with gray sleeves and cooperates gloves, pulling on a rope.",A man is pulling on a ropes.,0
263,"A man with a bearded, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man is able to augmentation a beard.,0
264,A hombre with facial hair and a red and gray shirt tugging on a piece of rope.,una man is naked on the bed.,2
265,A man with facial hair and a red and gray shirt tugging on a piece of ropes.,A dude is wearing a red and gray shirt.,1
266,A mec with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial headgear.,0
267,A middle-aged oriental dame in a green headscarf and blue shirt is flashing a giant smile.,The middle aged eastern woman is watchingt v,2
268,A middle-aged east woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant kidd,0
269,A middle-aged oriental woman in a green hijab and blue shirt is flashing a giant smile.,The oriente aged oriental woman is very happy,1
270,An Asian wife in a blue top and green headscarf kidd widely as another woman rows a boat in the background.,An Asian woman is happy because she found money on the terrestrial.,1
271,An Asian woman in a blue top and green headscarf smiling heavily as another girl rows a boat in the background.,An Asian woman is grin at while another lady is rowing.,0
272,An Asian woman in a blue top and green headscarf smiling widely as another female rows a boat in the backgrounds.,An Asian daughters is running from a dog.,2
273,A boat worker ensured line.,A worker is doing something to a sailboat.,0
274,A dinghies worker securing line.,The rowboat worker is swimming in the ocean.,2
275,A boat laborer securing line.,The boat worker cooperates hard to establish the line.,1
276,A small girlie with a necklace is swimming.,A small girl with a pendant is swimming in a pool,1
277,A small fille with a necklace is swimming.,A fat girl is dives off the edge,2
278,A small women with a necklace is swimming.,A petit girl with a necklace is in the water,0
279,a skateboarder skaters in the pool.,A skid swims in the pool.,2
280,a skateboarder booties in the pool.,A skater is in the pools.,0
281,a skateboarder booties in the pool.,A skater grinds on the lips of the pool.,1
282,"A couple, who emerge to be Indian or Pakistan, walk on a path beside a body of water, the mommy carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Kiddies.""",A man is wrapped in a UNICEF hedging.,2
283,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the pere wrapped in a blanket with the logo of the humanities organising ""Rescue the Children.""",A couple carrying a child are walks along water.,0
284,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a infantile in a diaper, the father compacted in a blanket with the logo of the humanitarian arrange ""Saves the Children.""",An Indian couple is seeking refuge with a humanist organization.,1
285,"There is a woman holding a baby, along with a man with a save the children baggies.",A groups of people are possing for an add.,0
286,"There is a woman holding a baby, along with a man with a save the children sac.",A fella and a woman are hoding their son.,1
287,"There is a woman holding a baby, along with a man with a save the children pouch.",A man is watching an plane.,2
288,"A family with a baby, the father is wearing a save the childhood sign.",Three adults are photography.,2
289,"una family with a baby, the father is wearing a save the children sign.",A man is wearing something with writes on it.,0
290,"A family with a baby, the father is wearing a save the kids sign.",A women is holding a baby.,1
291,A foreign family is walking along a dirt camino next to the water.,they are riding a cyclists,2
292,A foreigners family is walking along a dirt path next to the water.,People are marche next to a lake.,1
293,A foreign family is walking along a dirt road next to the water.,A aliens group of cousins hike along a trail next to a stream.,1
294,A diplomacy family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a agencies of water.,0
295,A overseas family is walking along a dirt path next to the water.,The families is admiring the water,0
296,A foreign family is walking along a dirt path impending to the water.,The people are driving a motorcar on the freeway.,2
297,A foreign family is walking along a dirt path impending to the water.,A family of extraterrestrials swims in the water.,2
298,A foreign family is walking along a dirt camino next to the water.,they are trying not to dropped in the water,1
299,A foreign family is marche along a dirt path next to the water.,A group of locals run on a dirt trail next to a freezing stream.,2
300,A foreign family is walking along a dirt way next to the water.,A family of extraterrestrial walks by the water.,0
301,A foreign families is walking along a dirt path next to the water.,A family walks along a dirt paths.,0
302,A foreign family is walking along a dirt camino next to the water.,A family plays board games at their lunch table.,2
303,A foreign family is walking along a dirt pathway next to the water.,There is a family taking a stroll outside.,0
304,A foreign family is walking along a dirt routes next to the water.,A family walks along a grime path in a forest by a pond.,1
305,una foreign family is walking along a dirt path next to the water.,A family of foreigner walks by the lake.,1
306,"A man and a woman are standing next to sculptures, talking while another males looks at other sculptures.",People are looking at statues at a museum.,0
307,"A man and a woman are standing next to sculptures, talks while another man looks at other sculptures.",There are people next to carving.,0
308,"A fella and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are happily stand.,1
309,"A man and a woman are standing next to carving, talking while another man looks at other sculptures.",People standing near sculpture,0
310,"A man and a woman are standing next to sculptures, chitchat while another man looks at other sculptures.",Tre people are looking at painting at a school fair.,2
311,"A man and a female are standing next to sculptures, talking while another man looks at other sculptures.",Anyone is standing.,2
312,"A man and a woman are standing next to sculptures, spoke while another man looks at other sculptures.",The sculpting are a recent creation.,1
313,"A man and a woman are standing next to sculptures, talk while another man looks at other sculptures.",A guy and a woman are standing.,0
